Id,NomSpecialite,domaineId
10,Génie Chimique,3
11,Génie de l'environnement,3
12,Génie Pharmaceutique,3
13,Génie électrochimique,3
14,Commande électrique,3
15,Réseaux électriques,3
16,Energies renouvelables en electrotechnique,3
17,Electrotechnique industrielle,3
18,Hydrogène vert vecteur d'énergie,3
19,Automatique et systèmes,3
20,Automatique et informatique industrielle,3
21,Automatisation industrielle et process,3
22,Réseaux et télécommunications,3
23,Electronique des systèmes embarqués,3
24,Instrumentations,3
25,Microélectronique,3
26,Energétique,3
27,Voies et ouvrages d'art,3
28,Matériaux en génie civil,3
29,Structures,3
31,Biochimie Appliquée,6
32,Immunologie,6
34,Physiologie cellulaire et physiopathologie,6
35,Parasitologie,6
36,Microbiologie,6
37,Microbiologie Appliquée,6
38,Microbiologie et contrôle de la qualité,6
39,Protection des écosystèmes,6
40,Ecologie,6
41,Biodiversité et environnement,6
42,Biodiversité et physiologie végétale,6
43,Biotechnologie et valorisation des plantes,6
44,Production animale,6
45,Production végétale,6
46,Protection des végétaux,6
47,Aménagement hydroagricole,6
48,Mathématiques Appliquées,7
49,Analyse non linéaire et EDP,7
50,Optimisation et contrôle,7
51,Algèbre et géométrie,7
52,Informatique Quantique,7
53,Physique des matériaux,8
54,Physique des rayonnements,8
55,Physique Médicale,8
56,Physique Théorique,8
57,Physique Energétique,8
58,Chimie Physique,8
59,Chimie de l'environnement,8
60,Chimie Pharmaceutique,8
61,Chimie Analytique et Analyse,8
62,Economie internationale,9
63,Economie monetaire et financiere,9
65,Economie et Gestion de l'Entreprise,9
66,Gestion des resources humaines,9
67,Management,9
68,Management Financier,9
69,Economie de la santé et management hospitalier,9
70,"finance de l""entreprise",9
71,finance et banques islamiques,9
72,finance des banques et assurances,9
73,Comptabilité et Audit,9
74,Comptabilité et Fiscalité,9
75,Comptabilité,9
76,Marketing digital-Presentiel,9
78,Marketing touristique et hospitalier,9
79,finance et commerce international,9
80,Marketing des services,9
84,Architecture ,10
85,"Ressources minérales, Géomatériaux et Environnement",12
86,Géologie de l’ingénieur et Géotechnique,12
87,Hydrogéologie,12
90,Biotechnologie et santé,6
91,Réseaux et systèmes distribués,7
92,Ingénierie des données et technologie du web,7
93,Fondement et ingénierie de l'information et de l'image,7
97,Génie des Procédés,14
98,Génie Mécanique,14
99,Génie civil,14
100,Electronique,14
101,Electrotechnique,14
102,Automatique,14
103,Travaux public,14
104,Télécommunications,14
105,Economie internationale,15
106,Economie monetaire et financiere,15
107,Economie et Gestion de l'Entreprise,15
109,Gestion des resources humaines,15
110,Management Financier,15
111,Management,15
112,Economie de la santé et management hospitalier,15
113,Comptabilité,15
114,Comptabilité et Fiscalité,15
